Title,Genre,Premiere,Seasons,Runtime,Status
Stranger Things,Science fiction/horror,"July 15, 2016","3 seasons, 25 episodes",42-78 min.,Renewed
The Crown,Historical drama,"November 4, 2016","4 seasons, 40 episodes",47-61 min.,Renewed for seasons 5 and 6 (final)
Ozark,Crime drama,"July 21, 2017","3 seasons, 30 episodes",52-80 min.,Renewed for two part final season
Lost in Space,Science fiction,"April 13, 2018","2 seasons, 20 episodes",39-66 min.,Renewed for final season
Chilling Adventures of Sabrina,Supernatural coming-of-age horror,"October 26, 2018","3 parts, 28 episodes",50-64 min.,Awaiting release
Narcos: Mexico,Crime drama,"November 16, 2018","2 seasons, 20 episodes",45-70 min.,Renewed
The Umbrella Academy,Superhero action,"February 15, 2019","2 seasons, 20 episodes",40-60 min.,Renewed
Black Summer,Zombie drama,"April 11, 2019","1 season, 8 episodes",21-45 min.,Renewed
Another Life,Science fiction drama,"July 25, 2019","1 season, 10 episodes",37-61 min.,Renewed
Criminal: UK,Police procedural anthology series,"September 20, 2019","2 seasons, 7 episodes",41-47 min.,Pending
Raising Dion,Superhero/Science fiction drama,"October 4, 2019","1 season, 9 episodes",39-51 min.,Renewed
Virgin River,Romantic drama,"December 6, 2019","2 seasons, 20 episodes",40-49 min.,Pending
The Witcher,Fantasy drama,"December 20, 2019","1 season, 8 episodes",47-67 min.,Renewed
Locke & Key,Horror teen drama,"February 7, 2020","1 season, 10 episodes",40-56 min.,Renewed
The Letter for the King,Fantasy,"March 20, 2020","1 season, 6 episodes",40-51 min.,Pending
Outer Banks,Coming-of-age drama,"April 15, 2020","1 season, 10 episodes",46-56 min.,Renewed
Sweet Magnolias,Romance drama,"May 19, 2020","1 season, 10 episodes",43-52 min.,Renewed
Blood & Water,Teen drama,"May 20, 2020","1 season, 6 episodes",43-53 min.,Renewed
Homemade,Anthology series,"June 30, 2020","1 volume, 17 episodes",4-11 min.,Pending
Warrior Nun,Fantasy,"July 2, 2020","1 season, 10 episodes",37-50 min.,Renewed
Cursed,Fantasy,"July 17, 2020","1 season, 10 episodes",48-59 min.,Pending
Young Wallander,Detective drama,"September 3, 2020","1 season, 6 episodes",41-52 min.,Renewed
Ratched,Drama,"September 18, 2020","1 season, 8 episodes",45-62 min,Renewed
The Haunting of Bly Manor,Horror,"October 9, 2020",9 episodes,45-66 min.,Miniseries
Social Distance,Anthology series,"October 15, 2020","1 season, 8 episodes",18-23 min.,Pending
Grand Army,Teen drama,"October 16, 2020","1 season, 9 episodes",47-72 min.,Pending
The Queen's Gambit,Drama,"October 23, 2020",7 episodes,46-67 min.,Miniseries
Dash & Lily,Romance,"November 10, 2020","1 season, 8 episodes",23-27 min.,Pending
Selena: The Series,Biopic,"December 4, 2020","1 part, 9 episodes",33-41 min.,Pending
Awaiting release,Awaiting release,Awaiting release,Awaiting release,Awaiting release,Awaiting release
Tiny Pretty Things,Teen drama,"December 14, 2020","1 season, 10 episodes",TBA,Pending
Bridgerton,Romance,"December 25, 2020","1 season, 8 episodes",TBA,Pending
Fate: The Winx Saga,Teen drama fantasy,"January 22, 2021","1 season, 6 episodes",TBA,Pending
Firefly Lane,Drama,"February 3, 2021","1 season, 10 episodes",TBA,Pending
