Title,Genre,Premiere,Seasons/episodes,Status
Kamen Rider Amazons,Action/Horror,"April 1, 2016","2 seasons, 26 episodes",Ended
Happy Marriage!?,Romance drama,"June 22, 2016","1 season, 12 episodes",Ended
Baby Steps,Sports drama,"July 22, 2016","1 season, 10 episodes",Ended
Businessmen vs Aliens,Science fiction comedy,"September 8, 2016","1 season, 10 episodes",Ended
Fukuyado Honpo: Kyoto Love Story,Romance drama,"October 19, 2016","1 season, 12 episodes",Ended
Tokyo Girl,Drama,"December 16, 2016","1 season, 11 episodes",Ended
Ultraman Orb: The Origin Saga,Action drama,"December 26, 2016","1 season, 12 episodes",Ended
Gaki Rock: The Story of Kindness in Asakusa,Comedy-drama,"April 14, 2017","1 season, 12 episodes",Ended
Tokyo Vampire Hotel,Horror drama,"June 16, 2017","1 season, 9 episodes",Ended
Face: Cyber Hanzai Tokusouhan,Mystery drama,"July 11, 2017","1 season, 10 episodes",Ended
Tokyo Alice,Comedy-drama,"August 25, 2017","1 season, 12 episodes",Ended
Final Life,Mystery drama,"September 8, 2017","1 season, 12 episodes",Ended
Chase,Mystery drama,"December 22, 2017","2 seasons, 12 episodes",Ended
Shiro to Kiiro,Romance drama,"February 28, 2018","1 season, 25 episodes",Ended
Konta Teru's Legal Recipes,Cooking comedy,"March 6, 2018","1 season, 10 episodes",Ended
Shonan Junai Gumi,Action comedy-drama,"February 28, 2020","1 season, 8 episodes",Pending
Peep Time,Sitcom,"September 18, 2020","1 season, 8 episodes",Pending
