Title,Genre,Premiere,Seasons/episodes,Status
Creative Galaxy,Preschool science fiction,"October 2, 2013","3 seasons, 36 episodes",Ended
Tumble Leaf,Preschool adventure,"February 6, 2014","4 seasons, 52 episodes",Ended
Wishenpoof!,Fantasy,"February 6, 2015","2 seasons, 39 episodes",Ended
The Stinky & Dirty Show,Preschool series,"September 2, 2016","2 seasons, 39 episodes",Ended
Danger & Eggs,Adventure/Comedy,"June 30, 2017","1 season, 13 episodes",Ended
Niko and the Sword of Light,Action/Fantasy,"July 21, 2017","2 seasons, 23 episodes",Ended
Lost In Oz,Fantasy,"August 4, 2017","1 season, 26 episodes",Ended
Selfie With Bajrangi,Action comedy,"October 6, 2017","2 seasons, 104 episodes",Moved to Hotstar
If You Give a Mouse a Cookie,Adventure,"November 7, 2017","2 seasons, 40 episodes",Pending
Kalari Kids,Adventure,"December 22, 2017","3 seasons, 60 episodes",Pending
Inspector Chingum,Action comedy,"April 22, 2018","2 seasons, 54 episodes",Pending
Little Big Awesome,Adventure,"April 27, 2018","1 season, 13 episodes",Ended
The Adventures of Rocky and Bullwinkle,Action-adventure/Comedy,"May 11, 2018","1 season, 26 episodes",Ended
Pete the Cat,Comedy,"September 21, 2018","2 seasons, 28 episodes",Pending
Kung Fu Panda: The Paws of Destiny,Action/Comedy,"November 16, 2018","2 season, 26 episodes",Ended
Costume Quest,Fantasy/Comedy,"March 8, 2019","1 season, 14 episodes",Ended
The Bug Diaries,Preschool series,"April 12, 2019","1 season, 12 episodes",Pending
Jessy & Nessy,Preschool animation/live-action,"March 13, 2020","1 season, 10 episodes","New episodes to be released on January 22, 2021"
